,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
109,Brandin Podziemski,20,GSW,SG,74,28,1968,.454,13.8,.608,.186,.322,.070,.030,.392,.499,.685,.443,.333,.333,.385,.552,.767,.008,4,.192,.422,1,0,ROY-5,podzibr01
110,Naz Reid,24,MIN,PF,81,14,1964,.477,14.5,.521,.212,.271,.036,.001,.479,.535,.717,.403,.484,.000,.414,.624,1.000,.049,39,.275,.411,2,0,6MOY-1,reidna01
111,Caris LeVert,29,CLE,SG,68,10,1958,.421,13.6,.595,.261,.212,.110,.012,.405,.486,.617,.379,.389,.400,.325,.414,.769,.043,33,.175,.328,1,0,,leverca01
112,Royce O'Neale,30,2TM,SF,79,14,1954,.397,21.5,.217,.109,.085,.019,.004,.783,.496,.627,.326,.500,.500,.370,.672,.936,.007,3,.166,.443,7,0,,onealro01
112,Royce O'Neale,30,BRK,SF,49,6,1202,.388,22.6,.185,.098,.065,.022,.000,.815,.483,.531,.381,.571,,.366,.690,.928,.009,2,.151,.450,6,0,,onealro01
112,Royce O'Neale,30,PHO,SF,30,8,752,.411,20.5,.266,.126,.117,.014,.009,.734,.509,.741,.280,.333,.500,.376,.655,.949,.005,1,.191,.433,1,0,,onealro01
113,Jonathan Kuminga,21,GSW,PF,74,46,1949,.529,9.4,.809,.296,.364,.109,.039,.191,.578,.749,.519,.394,.353,.321,.615,.906,.182,138,.279,.435,1,0,,kuminjo01
114,Donovan Mitchell,27,CLE,SG,55,55,1942,.462,16.4,.546,.209,.139,.097,.101,.454,.539,.702,.411,.462,.455,.368,.249,.560,.019,18,.051,.320,1,0,AS,mitchdo01
115,Trae Young,25,ATL,PG,54,54,1942,.430,17.6,.535,.121,.189,.157,.067,.465,.479,.598,.424,.456,.471,.373,.252,.337,.001,0,.053,.480,5,0,AS,youngtr01
116,Dorian Finney-Smith,30,BRK,PF,68,56,1934,.421,17.6,.342,.225,.096,.012,.010,.658,.560,.687,.306,.667,.000,.348,.745,.974,.057,24,.348,.350,2,0,,finnedo01
117,Tyus Jones,27,WAS,PG,66,66,1933,.489,14.8,.616,.111,.297,.174,.033,.384,.537,.635,.490,.560,.500,.414,.418,.792,.000,0,.246,.476,0,0,,jonesty01
118,Jonas Valančiūnas,31,NOP,C,82,82,1925,.559,8.9,.833,.344,.323,.115,.051,.167,.609,.729,.526,.542,.486,.308,.619,1.000,.083,54,.200,.167,0,0,,valanjo01
119,Nickeil Alexander-Walker,25,MIN,SG,82,20,1921,.439,17.7,.377,.149,.145,.046,.037,.623,.517,.650,.449,.440,.350,.391,.581,.977,.020,9,.469,.452,2,0,,alexani01
120,Andrew Wiggins,28,GSW,SF,71,59,1920,.453,13.2,.674,.203,.292,.083,.096,.326,.498,.639,.491,.338,.360,.358,.592,.901,.049,37,.157,.350,1,0,,wiggian01
121,Duncan Robinson,29,MIA,SF,68,36,1905,.450,19.6,.299,.121,.144,.027,.007,.701,.579,.695,.526,.444,.200,.395,.752,.914,.004,3,.222,.419,2,0,,robindu01
122,John Collins,26,UTA,PF,68,66,1901,.532,11.0,.689,.303,.304,.043,.039,.311,.605,.783,.493,.438,.276,.371,.730,.988,.150,106,.431,.370,0,0,,collijo01
123,Darius Garland,24,CLE,PG,57,57,1901,.446,15.7,.577,.170,.214,.115,.077,.423,.501,.643,.406,.505,.446,.371,.346,.652,.000,0,.140,.440,0,0,,garlada01
124,Isaiah Hartenstein,25,NYK,C,75,49,1896,.644,3.5,.992,.641,.260,.085,.005,.008,.646,.709,.568,.387,1.000,.333,.654,1.000,.258,86,.000,,0,0,,harteis01
125,Eric Gordon,35,PHO,SG,68,24,1893,.443,18.4,.358,.175,.149,.026,.008,.642,.561,.731,.391,.500,.200,.378,.653,.933,.002,1,.202,.413,1,0,,gordoer01
126,Jalen Johnson,22,ATL,SF,56,52,1889,.511,10.6,.715,.342,.272,.083,.019,.285,.574,.696,.471,.431,.462,.355,.705,.972,.150,98,.285,.298,1,0,,johnsja05
127,Isaac Okoro,23,CLE,SF,69,42,1887,.490,12.5,.552,.388,.150,.008,.006,.448,.570,.640,.403,.000,1.000,.391,.795,.976,.046,18,.642,.399,1,0,,okorois01
128,Clint Capela,29,ATL,C,73,73,1883,.571,2.5,.998,.693,.291,.011,.003,.002,.572,.636,.433,.429,.000,.000,.680,,.252,144,.000,,1,0,,capelca01
129,Terance Mann,27,LAC,SG,75,71,1873,.515,13.1,.586,.292,.193,.085,.016,.414,.633,.833,.463,.405,.250,.348,.639,.944,.105,45,.515,.381,1,0,,mannte01
130,Malik Monk,25,SAC,SG,72,0,1872,.443,16.2,.526,.169,.189,.108,.060,.474,.528,.656,.456,.500,.444,.350,.464,.784,.049,41,.132,.429,0,0,CPOY-126MOY-2,monkma01
131,Bruce Brown,27,2TM,SG,67,44,1866,.478,11.6,.718,.244,.285,.148,.041,.282,.538,.718,.440,.477,.375,.323,.618,.925,.021,12,.390,.344,1,0,,brownbr01
131,Bruce Brown,27,IND,SG,33,33,981,.475,12.9,.678,.207,.264,.162,.045,.322,.545,.692,.458,.529,.429,.327,.552,.909,.019,6,.436,.386,1,0,,brownbr01
131,Bruce Brown,27,TOR,PG,34,11,885,.481,10.3,.765,.287,.310,.131,.037,.235,.532,.740,.422,.400,.300,.317,.688,.950,.022,6,.317,.250,0,0,,brownbr01
132,Jamal Murray,26,DEN,PG,59,59,1861,.481,15.2,.654,.166,.167,.169,.151,.346,.510,.652,.461,.455,.470,.425,.337,.600,.019,19,.111,.289,2,0,,murraja01
133,RJ Barrett,23,2TM,SG,58,58,1838,.495,10.4,.716,.364,.276,.057,.019,.284,.549,.694,.420,.300,.412,.360,.592,.989,.050,39,.352,.409,0,0,,barrerj01
133,RJ Barrett,23,NYK,SG,26,26,766,.423,12.2,.665,.278,.255,.093,.039,.335,.469,.620,.374,.306,.400,.331,.537,1.000,.034,10,.377,.388,0,0,,barrerj01
133,RJ Barrett,23,TOR,SG,32,32,1072,.553,8.7,.756,.431,.293,.028,.004,.244,.605,.731,.451,.286,.500,.392,.622,.979,.063,29,.325,.436,0,0,,barrerj01
134,Georges Niang,30,CLE,PF,82,10,1831,.449,17.9,.373,.120,.196,.049,.008,.627,.572,.684,.524,.548,.200,.376,.741,.973,.000,0,.354,.343,0,0,,niangge01
135,Jerami Grant,29,POR,PF,54,54,1830,.451,13.2,.675,.214,.255,.096,.109,.325,.474,.599,.406,.415,.441,.402,.445,.973,.028,18,.333,.467,0,0,,grantje01
136,Rui Hachimura,25,LAL,PF,68,39,1826,.537,12.6,.657,.296,.197,.090,.072,.343,.597,.810,.398,.525,.367,.422,.796,.990,.127,77,.457,.443,0,0,,hachiru01
137,Payton Pritchard,26,BOS,PG,82,5,1825,.468,19.1,.398,.132,.117,.083,.066,.602,.593,.762,.486,.566,.476,.385,.273,.850,.000,0,.251,.438,5,1,,pritcpa01
138,Lauri Markkanen,26,UTA,PF,55,55,1820,.480,15.7,.507,.175,.240,.061,.030,.493,.559,.724,.500,.389,.407,.399,.742,.983,.098,77,.178,.436,1,0,,markkla01
139,Reggie Jackson,33,DEN,PG,82,23,1817,.431,14.6,.624,.187,.247,.089,.102,.376,.475,.610,.422,.433,.390,.359,.402,.775,.011,6,.204,.397,4,0,,jacksre01
140,Cole Anthony,23,ORL,PG,81,0,1817,.435,14.9,.640,.152,.244,.169,.075,.360,.490,.647,.484,.434,.316,.338,.280,.892,.014,9,.204,.321,3,0,,anthoco01
141,Daniel Gafford,25,2TM,PF,74,66,1815,.725,2.7,1.000,.667,.302,.027,.004,.000,.725,.813,.566,.385,.500,,.761,,.392,177,,,0,0,,gaffoda01
141,Daniel Gafford,25,WAS,C,45,45,1192,.690,3.2,1.000,.633,.320,.041,.007,.000,.690,.774,.564,.417,.500,,.729,,.347,94,,,0,0,,gaffoda01
141,Daniel Gafford,25,DAL,PF,29,21,623,.780,2.2,1.000,.720,.274,.005,.000,.000,.780,.866,.569,.000,,,.807,,.462,83,,,0,0,,gaffoda01
142,Ivica Zubac,26,LAC,C,68,68,1794,.649,3.7,1.000,.493,.466,.040,.000,.000,.649,.711,.599,.476,,,.772,,.245,112,,,0,0,,zubaciv01
143,Deandre Ayton,25,POR,C,55,55,1784,.570,8.9,.987,.255,.308,.268,.155,.013,.576,.764,.541,.453,.552,.100,.749,1.000,.117,80,.400,.250,1,0,,aytonde01
144,Derrick Jones Jr.,26,DAL,SF,76,66,1783,.483,13.2,.517,.327,.168,.018,.004,.483,.613,.691,.494,.444,.000,.343,.764,.988,.158,62,.586,.343,0,0,,jonesde02
145,Kyle Anderson,30,MIN,PF,79,10,1782,.460,9.0,.889,.192,.480,.189,.028,.111,.488,.627,.438,.476,.500,.229,.511,1.000,.025,10,.688,.303,1,0,,anderky01
146,Jalen Duren,20,DET,C,61,60,1777,.619,3.9,.993,.521,.397,.055,.020,.007,.623,.741,.536,.290,.182,.000,.676,,.296,156,.000,,0,0,,durenja01
147,Bradley Beal,30,PHO,SG,53,53,1767,.513,13.5,.680,.233,.193,.132,.122,.320,.552,.725,.472,.474,.433,.430,.442,.861,.034,22,.311,.438,0,0,,bealbr01
148,Scoot Henderson,19,POR,PG,62,32,1765,.385,14.0,.664,.237,.177,.167,.083,.336,.416,.503,.312,.451,.318,.325,.277,.598,.024,14,.123,.333,4,0,,hendesc01
149,Nick Richards,26,CHO,C,67,51,1759,.691,3.1,.997,.684,.245,.059,.011,.003,.693,.782,.543,.364,.250,.000,.681,,.354,120,.000,,0,0,,richani01
150,Kelly Olynyk,32,2TM,C,78,27,1759,.555,11.6,.688,.344,.225,.064,.054,.312,.632,.760,.545,.406,.444,.387,.537,.967,.016,8,.187,.448,0,0,,olynyke01
150,Kelly Olynyk,32,UTA,C,50,8,1019,.562,12.1,.674,.295,.264,.058,.058,.326,.626,.776,.588,.267,.400,.429,.477,.972,.016,4,.202,.353,0,0,,olynyke01
150,Kelly Olynyk,32,TOR,C,28,19,740,.548,11.1,.703,.397,.184,.071,.050,.297,.637,.747,.477,.529,.500,.338,.598,.958,.017,4,.169,.583,0,0,,olynyke01
151,Caleb Martin,28,MIA,SF,64,23,1756,.431,14.5,.585,.218,.216,.072,.079,.415,.489,.598,.463,.325,.409,.349,.581,.926,.036,18,.353,.329,2,0,,martica02
152,Sam Hauser,26,BOS,SF,79,13,1741,.446,22.7,.167,.072,.048,.027,.020,.833,.559,.675,.407,.467,.636,.424,.731,.975,.016,9,.241,.518,2,0,,hausesa01
153,Al Horford,37,BOS,C,65,33,1740,.511,17.2,.384,.184,.155,.024,.021,.616,.658,.818,.523,.600,.333,.419,.726,1.000,.045,18,.384,.424,0,0,,horfoal01
154,Toumani Camara,23,POR,PF,70,49,1739,.450,11.6,.607,.352,.224,.023,.009,.393,.523,.643,.367,.300,.250,.337,.504,1.000,.068,24,.448,.351,0,0,,camarto01
155,Obi Toppin,25,IND,PF,82,28,1730,.573,12.7,.563,.378,.157,.026,.002,.437,.706,.808,.516,.400,.000,.403,.796,.990,.193,101,.368,.398,3,0,,toppiob01
156,Bilal Coulibaly,19,WAS,SF,63,15,1715,.435,13.2,.572,.313,.188,.035,.037,.428,.502,.667,.346,.133,.250,.346,.621,.953,.134,51,.481,.393,0,0,,coulibi01
157,OG Anunoby,26,2TM,SF,50,50,1702,.489,13.9,.537,.310,.121,.066,.040,.463,.581,.721,.357,.368,.522,.382,.689,.961,.144,75,.476,.457,0,0,,anunoog01
157,OG Anunoby,26,TOR,SF,27,27,900,.489,15.2,.492,.265,.131,.056,.040,.508,.608,.753,.405,.389,.615,.374,.729,.951,.128,36,.405,.439,0,0,,anunoog01
157,OG Anunoby,26,NYK,SF,23,23,802,.488,12.6,.594,.367,.109,.078,.039,.406,.553,.691,.286,.350,.400,.394,.643,.976,.164,39,.587,.475,0,0,,anunoog01
158,Jabari Walker,21,POR,SF,72,23,1700,.460,9.8,.727,.393,.263,.049,.022,.273,.522,.670,.358,.200,.545,.295,.617,1.000,.055,17,.446,.290,2,0,,walkeja01
159,Andrew Nembhard,24,IND,PG,68,47,1697,.498,14.1,.672,.190,.207,.197,.079,.328,.567,.737,.472,.534,.488,.357,.412,.918,.002,1,.310,.528,0,0,,nembhan01
160,Cason Wallace,20,OKC,SG,82,13,1692,.491,16.0,.471,.229,.120,.059,.063,.529,.572,.752,.377,.500,.357,.419,.655,.969,.054,19,.496,.474,0,0,,wallaca01
161,Trey Murphy III,23,NOP,SF,57,23,1690,.443,20.3,.283,.142,.100,.027,.014,.717,.602,.795,.419,.471,.222,.380,.679,.893,.068,38,.200,.404,1,0,,murphtr02
162,Kristaps Porziņģis,28,BOS,C,57,57,1690,.516,14.6,.610,.251,.176,.126,.057,.390,.606,.751,.538,.505,.395,.375,.716,.991,.128,89,.024,.143,2,0,,porzikr01
163,Kyle Lowry,37,2TM,PG,60,55,1690,.432,19.7,.337,.114,.111,.072,.040,.663,.512,.628,.500,.333,.533,.392,.477,.806,.000,0,.248,.452,2,0,,lowryky01
163,Kyle Lowry,37,MIA,PG,37,35,1037,.426,19.6,.335,.116,.124,.062,.033,.665,.506,.607,.500,.200,.750,.385,.488,.823,.000,0,.224,.472,2,0,,lowryky01
163,Kyle Lowry,37,PHI,PG,23,20,653,.444,19.9,.341,.111,.089,.089,.052,.659,.522,.667,.500,.500,.286,.404,.458,.778,.000,0,.292,.423,0,0,,lowryky01
164,Jordan Clarkson,31,UTA,SG,55,19,1682,.413,14.9,.621,.113,.339,.125,.044,.379,.485,.598,.473,.412,.500,.294,.370,.703,.017,13,.133,.415,8,0,,clarkjo01
165,De'Andre Hunter,26,ATL,SF,57,37,1681,.459,16.1,.541,.166,.149,.137,.089,.459,.521,.682,.485,.429,.424,.385,.674,.906,.027,13,.322,.398,0,0,,huntede01
166,Pat Connaughton,31,MIL,SF,76,3,1676,.435,18.2,.314,.205,.104,.003,.003,.686,.633,.789,.333,.000,1.000,.345,.667,.963,.017,3,.403,.406,0,0,,connapa01
167,Christian Braun,22,DEN,SG,82,4,1655,.460,11.4,.660,.342,.263,.025,.031,.340,.498,.667,.339,.083,.333,.384,.692,.937,.068,30,.341,.304,1,0,,braunch01
168,Simone Fontecchio,28,2TM,SF,66,43,1644,.460,16.8,.391,.170,.177,.033,.011,.609,.551,.656,.474,.389,.667,.401,.729,.978,.049,21,.434,.428,0,0,,fontesi01
168,Simone Fontecchio,28,UTA,SF,50,34,1160,.450,17.7,.349,.165,.156,.022,.006,.651,.560,.610,.518,.375,1.000,.391,.700,.989,.053,15,.451,.390,0,0,,fontesi01
168,Simone Fontecchio,28,DET,SF,16,9,484,.479,15.8,.468,.179,.216,.053,.021,.532,.539,.735,.415,.400,.500,.426,.771,.953,.042,6,.396,.525,0,0,,fontesi01
169,Ochai Agbaji,23,2TM,SG,78,28,1641,.411,13.7,.513,.289,.176,.037,.012,.487,.523,.664,.329,.438,.200,.294,.750,.984,.085,31,.455,.365,1,0,,agbajoc01
169,Ochai Agbaji,23,UTA,SG,51,10,1003,.426,15.9,.430,.201,.181,.036,.012,.570,.551,.720,.422,.333,.333,.331,.831,.979,.068,15,.451,.406,0,0,,agbajoc01
169,Ochai Agbaji,23,TOR,SG,27,18,638,.391,11.4,.625,.408,.168,.038,.011,.375,.496,.627,.194,.571,.000,.217,.667,1.000,.109,16,.464,.281,1,0,,agbajoc01
170,Julius Randle,29,NYK,PF,46,46,1630,.472,11.7,.708,.266,.291,.115,.037,.292,.539,.689,.469,.406,.419,.311,.423,.868,.032,24,.148,.528,0,0,AS,randlju01
171,Precious Achiuwa,24,2TM,PF,74,18,1624,.501,8.0,.793,.520,.215,.047,.011,.207,.562,.697,.317,.273,.200,.268,.593,.962,.145,62,.474,.304,0,0,,achiupr01
171,Precious Achiuwa,24,TOR,C,25,0,437,.459,9.5,.724,.418,.247,.047,.012,.276,.528,.662,.357,.250,.500,.277,.662,1.000,.147,21,.362,.294,0,0,,achiupr01
171,Precious Achiuwa,24,NYK,PF,49,18,1187,.525,6.5,.833,.579,.197,.047,.010,.167,.578,.711,.288,.286,.000,.260,.563,.923,.144,41,.580,.310,0,0,,achiupr01
172,Santi Aldama,23,MEM,PF,61,35,1618,.435,15.8,.465,.211,.188,.049,.016,.535,.534,.692,.411,.393,.333,.349,.674,.962,.067,34,.296,.300,0,0,,aldamsa01
173,Cameron Johnson,27,BRK,PF,58,47,1599,.446,17.5,.430,.170,.126,.073,.061,.570,.519,.724,.410,.378,.342,.391,.601,.957,.034,18,.331,.462,1,0,,johnsca02
174,Malaki Branham,20,SAS,PG,75,29,1594,.432,15.1,.573,.186,.189,.134,.064,.427,.494,.744,.328,.500,.250,.347,.657,.968,.019,12,.272,.384,0,0,,branhma01
175,Paul Reed,24,PHI,C,82,24,1590,.540,7.1,.881,.473,.265,.094,.050,.119,.563,.674,.394,.511,.500,.368,.643,.857,.106,45,.298,.294,0,0,,reedpa01
176,Ausar Thompson,21,DET,SF,63,38,1583,.483,9.8,.765,.377,.283,.050,.054,.235,.575,.652,.544,.458,.308,.186,.673,.952,.183,79,.575,.231,4,0,,thompau01
177,Anfernee Simons,24,POR,SG,46,46,1582,.430,17.1,.516,.140,.183,.105,.088,.484,.472,.658,.392,.477,.338,.385,.162,.622,.018,14,.077,.290,0,0,,simonan01
178,Kevin Huerter,25,SAC,SG,64,59,1562,.443,18.2,.391,.146,.152,.075,.018,.609,.571,.732,.553,.381,.200,.361,.808,.951,.020,9,.173,.424,0,0,,huertke01
179,Bennedict Mathurin,21,IND,SF,59,19,1538,.446,12.4,.677,.275,.253,.089,.060,.323,.481,.582,.393,.458,.425,.374,.583,.750,.030,17,.107,.435,0,0,,mathube01
180,Evan Mobley,22,CLE,PF,50,50,1532,.580,6.5,.893,.464,.337,.065,.027,.107,.604,.770,.462,.361,.133,.373,.725,1.000,.239,129,.424,.360,0,0,,mobleev01
181,Chris Paul,38,GSW,PG,58,18,1531,.441,19.0,.550,.021,.109,.233,.186,.450,.498,.800,.608,.514,.379,.371,.164,.679,.000,0,.176,.243,4,0,,paulch01
182,Russell Westbrook,35,LAC,PG,68,11,1529,.454,9.6,.768,.385,.270,.074,.039,.232,.509,.655,.363,.367,.346,.273,.378,.857,.075,38,.403,.290,0,0,6MOY-7,westbru01
183,Nicolas Batum,35,2TM,PF,60,38,1529,.453,20.5,.277,.191,.043,.027,.016,.723,.606,.653,.636,.429,.250,.395,.628,1.000,.035,9,.535,.434,1,0,,batumni01
183,Nicolas Batum,35,LAC,PF,3,0,54,.375,22.0,.125,.000,.125,.000,.000,.875,1.000,,1.000,,,.286,1.000,1.000,.125,1,.571,.500,0,0,,batumni01
183,Nicolas Batum,35,PHI,PF,57,38,1475,.456,18.9,.282,.198,.040,.028,.016,.718,.600,.653,.600,.429,.250,.399,.619,1.000,.032,8,.534,.432,1,0,,batumni01
184,Zach Collins,26,SAS,C,69,29,1526,.484,11.5,.706,.266,.313,.088,.039,.294,.552,.726,.472,.463,.208,.320,.713,1.000,.042,25,.099,.333,0,0,,colliza01
185,Josh Green,23,DAL,SG,57,33,1505,.479,14.5,.500,.265,.158,.045,.032,.500,.572,.768,.339,.294,.500,.385,.748,.958,.091,31,.626,.385,0,0,,greenjo02
186,Walker Kessler,22,UTA,C,64,22,1493,.654,3.4,.946,.680,.257,.003,.006,.054,.680,.752,.511,.000,.000,.211,.742,1.000,.363,124,1.000,.211,0,0,,kesslwa01
187,Draymond Green,33,GSW,PF,55,52,1490,.497,11.6,.653,.293,.296,.056,.008,.347,.551,.670,.500,.143,1.000,.395,.769,.941,.022,7,.310,.425,0,0,,greendr01
188,Peyton Watson,21,DEN,SF,80,4,1488,.465,12.0,.660,.342,.204,.089,.025,.340,.553,.660,.407,.525,.364,.296,.785,.978,.143,58,.434,.273,6,0,,watsope01
189,Matisse Thybulle,26,POR,SF,65,19,1487,.397,19.3,.271,.132,.120,.013,.006,.729,.535,.643,.421,.750,.000,.346,.630,1.000,.025,8,.385,.382,1,0,,thybuma01
190,Khris Middleton,32,MIL,SF,55,55,1487,.493,16.7,.616,.101,.159,.187,.170,.384,.563,.708,.510,.517,.578,.381,.372,.702,.005,2,.186,.413,0,0,,middlkh01
191,Bojan Bogdanović,34,2TM,PF,57,27,1478,.454,16.7,.510,.117,.181,.140,.072,.490,.507,.625,.480,.484,.429,.398,.648,.872,.006,4,.275,.435,0,0,6MOY-9,bogdabo02
191,Bojan Bogdanović,34,DET,PF,28,27,921,.468,16.6,.513,.111,.200,.141,.061,.487,.518,.723,.447,.500,.423,.415,.584,.860,.002,1,.232,.438,0,0,,bogdabo02
191,Bojan Bogdanović,34,NYK,SF,29,0,557,.430,16.8,.504,.129,.148,.137,.090,.496,.488,.485,.553,.457,.435,.370,.762,.894,.012,3,.346,.432,0,0,,bogdabo02
192,Julian Champagnie,22,SAS,SF,74,59,1468,.408,18.4,.311,.194,.090,.012,.015,.689,.504,.641,.306,.000,.333,.365,.857,.980,.067,19,.329,.363,0,0,,champju02
193,Patrick Beverley,35,2TM,PG,73,13,1462,.417,15.4,.522,.153,.293,.066,.011,.478,.490,.672,.441,.320,.250,.337,.361,.852,.003,1,.309,.464,0,0,,beverpa01
193,Patrick Beverley,35,PHI,PG,47,5,919,.432,14.9,.548,.154,.315,.066,.012,.452,.523,.703,.474,.375,.333,.321,.348,.771,.004,1,.220,.583,0,0,,beverpa01
193,Patrick Beverley,35,MIL,PG,26,8,543,.391,15.9,.478,.152,.254,.065,.007,.522,.424,.619,.371,.222,.000,.361,.393,.962,.000,0,.444,.375,0,0,,beverpa01
194,Amir Coffey,26,LAC,SF,70,13,1460,.472,16.6,.477,.151,.159,.128,.040,.523,.571,.774,.500,.489,.357,.380,.771,.971,.023,7,.500,.424,3,0,,coffeam01
195,Isaiah Joe,24,OKC,SG,78,1,1445,.458,21.3,.272,.091,.041,.070,.070,.728,.568,.773,.400,.500,.471,.416,.760,.966,.039,15,.212,.413,2,0,,joeis01
196,Desmond Bane,25,MEM,SG,42,42,1443,.464,15.9,.536,.216,.168,.061,.091,.464,.536,.720,.377,.553,.380,.381,.404,.613,.009,7,.144,.442,2,0,,banede01
197,Vince Williams Jr.,23,MEM,SG,52,33,1436,.446,15.7,.449,.245,.142,.045,.016,.551,.529,.667,.407,.353,.000,.378,.511,.924,.024,9,.335,.343,0,0,,willivi01
198,Isaiah Stewart,22,DET,PF,46,45,1423,.487,13.5,.542,.301,.212,.018,.010,.458,.575,.635,.519,.429,.250,.383,.723,1.000,.071,21,.349,.361,0,0,,stewais01
199,Moritz Wagner,26,ORL,C,80,1,1415,.601,7.6,.792,.504,.272,.005,.009,.208,.673,.799,.460,.333,.400,.330,.796,.974,.091,48,.322,.324,1,0,,wagnemo01
200,Tyler Herro,24,MIA,SG,42,40,1407,.441,17.0,.547,.086,.197,.166,.098,.453,.478,.587,.490,.467,.375,.396,.417,.811,.008,4,.120,.475,1,0,,herroty01
201,Wendell Carter Jr.,24,ORL,C,55,48,1406,.525,12.6,.598,.332,.191,.059,.016,.402,.626,.809,.395,.440,.286,.374,.736,.984,.186,71,.415,.338,0,0,,cartewe01
202,Onyeka Okongwu,23,ATL,C,55,8,1405,.611,6.8,.811,.559,.233,.014,.005,.189,.676,.740,.529,.400,1.000,.333,.775,1.000,.244,78,.739,.431,1,0,,okongon01
203,Amen Thompson,21,HOU,SF,62,23,1388,.536,6.9,.870,.518,.251,.054,.047,.130,.595,.714,.464,.292,.333,.138,.481,.875,.217,88,.293,.118,1,0,,thompam01
204,Haywood Highsmith,27,MIA,PF,66,26,1366,.465,16.6,.416,.191,.179,.027,.018,.584,.562,.667,.475,.667,.167,.396,.636,.987,.055,16,.417,.438,0,0,,highsha01
205,Dyson Daniels,20,NOP,PG,61,16,1358,.447,14.2,.566,.238,.232,.090,.006,.434,.551,.635,.528,.393,.500,.311,.526,1.000,.055,13,.363,.408,4,0,,daniedy01
206,Andre Drummond,30,CHI,C,79,10,1351,.556,2.8,.994,.713,.260,.021,.000,.006,.560,.614,.416,.500,,.000,.558,,.160,65,.000,,3,0,,drumman01
207,Marcus Sasser,23,DET,PG,71,11,1351,.428,17.7,.531,.088,.164,.166,.113,.469,.474,.644,.452,.482,.362,.375,.318,.644,.002,1,.154,.432,0,0,,sassema01
208,Kris Murray,23,POR,SF,62,29,1348,.396,14.1,.500,.287,.180,.030,.003,.500,.525,.657,.333,.455,.000,.268,.500,.980,.060,21,.475,.299,1,0,,murrakr01
209,Miles McBride,23,NYK,PG,68,14,1328,.452,17.8,.414,.172,.081,.099,.062,.586,.511,.679,.351,.444,.357,.410,.375,.899,.035,12,.395,.457,3,0,,mcbrimi01
210,Jakob Poeltl,28,TOR,C,50,50,1319,.656,3.9,1.000,.545,.349,.106,.000,.000,.656,.786,.500,.500,,,.798,,.074,26,,,0,0,,poeltja01
211,Joel Embiid,29,PHI,C,39,39,1309,.529,12.3,.837,.224,.189,.243,.180,.163,.556,.749,.472,.473,.516,.388,.533,.833,.026,19,.050,.571,2,0,AS,embiijo01
212,Jeff Green,37,HOU,PF,78,6,1307,.456,14.5,.563,.199,.260,.077,.027,.437,.553,.767,.453,.500,.100,.331,.737,.943,.068,20,.450,.347,4,0,,greenje02
213,Cameron Payne,29,2TM,PG,78,10,1304,.432,17.9,.445,.141,.173,.094,.037,.555,.486,.485,.470,.533,.444,.390,.452,.788,.000,0,.127,.265,1,0,,payneca01
213,Cameron Payne,29,MIL,PG,47,2,702,.455,18.7,.410,.104,.153,.113,.041,.590,.538,.609,.471,.560,.556,.397,.388,.846,.000,0,.183,.292,1,0,,payneca01
213,Cameron Payne,29,PHI,PG,31,8,602,.413,17.0,.475,.174,.189,.077,.035,.525,.447,.422,.469,.500,.333,.382,.509,.731,.000,0,.074,.200,0,0,,payneca01
214,Gary Harris,29,ORL,SG,54,27,1297,.441,19.4,.310,.118,.121,.037,.034,.690,.598,.686,.556,.636,.400,.371,.727,.974,.020,4,.429,.409,1,0,,harriga01
215,Dereck Lively II,19,DAL,C,55,42,1294,.747,2.4,.993,.750,.230,.010,.003,.007,.752,.833,.515,.000,1.000,.000,.810,,.527,141,1.000,.000,0,0,ROY-6,livelde01
216,T.J. McConnell,31,IND,PG,71,4,1291,.556,8.5,.926,.241,.403,.256,.025,.074,.568,.741,.527,.493,.333,.409,.317,.778,.000,0,.205,.667,1,0,6MOY-7,mccontj01
217,Aaron Holiday,27,HOU,PG,78,1,1269,.446,17.3,.480,.122,.170,.139,.048,.520,.510,.647,.437,.534,.350,.387,.255,.810,.005,2,.212,.478,1,0,,holidaa01
218,Cedi Osman,28,SAS,SF,72,3,1269,.479,16.7,.424,.221,.151,.034,.018,.576,.601,.776,.448,.154,.571,.389,.724,.965,.005,2,.235,.462,0,0,,osmande01
219,Gradey Dick,20,TOR,SG,60,17,1268,.425,17.2,.458,.180,.130,.072,.076,.542,.495,.638,.431,.344,.412,.365,.842,.977,.034,13,.378,.462,3,0,,dickgr01
220,Naji Marshall,26,NOP,SF,66,1,1257,.463,14.3,.591,.218,.253,.082,.038,.409,.516,.650,.430,.467,.429,.387,.563,.966,.027,9,.540,.420,8,1,,marshna01
221,Kris Dunn,29,UTA,PG,66,32,1249,.470,12.6,.645,.163,.419,.058,.006,.355,.525,.686,.481,.389,.500,.369,.274,.951,.054,17,.351,.410,1,0,,dunnkr01
