,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
27,Michael Porter Jr.,25,DEN,SF,81,81,2565,.484,17.5,.487,.179,.092,.080,.136,.513,.575,.725,.414,.477,.544,.397,.758,.964,.055,49,.211,.436,1,0,,portemi01
28,Shai Gilgeous-Alexander,25,OKC,PG,75,75,2553,.535,11.3,.819,.252,.224,.260,.083,.181,.576,.731,.492,.530,.472,.353,.223,.368,.027,37,.059,.500,0,0,MVP-2DPOY-7CPOY-3ASNBA1,gilgesh01
29,Grayson Allen,28,PHO,SG,75,74,2513,.499,18.2,.348,.192,.130,.023,.001,.652,.570,.687,.438,.375,.000,.461,.570,.912,.031,17,.294,.473,0,0,,allengr01
30,LeBron James,39,LAL,PF,71,71,2504,.540,11.6,.714,.345,.217,.078,.073,.286,.592,.772,.482,.313,.366,.410,.435,.685,.071,84,.096,.457,1,0,CPOY-10ASNBA3,jamesle01
31,Paul George,33,LAC,PF,74,74,2502,.471,17.7,.524,.128,.125,.122,.150,.476,.523,.703,.448,.523,.432,.413,.448,.733,.032,29,.138,.457,1,0,AS,georgpa01
32,Dennis Schröder,30,2TM,PG,80,58,2486,.435,15.2,.603,.193,.173,.148,.090,.397,.474,.609,.375,.445,.422,.375,.332,.812,.000,0,.168,.387,5,0,,schrode01
32,Dennis Schröder,30,TOR,PG,51,33,1559,.442,15.3,.606,.190,.163,.157,.097,.394,.501,.613,.407,.466,.500,.350,.394,.922,.000,0,.209,.348,4,0,,schrode01
32,Dennis Schröder,30,BRK,PG,29,25,927,.424,15.1,.598,.198,.188,.133,.079,.402,.432,.603,.333,.408,.276,.412,.221,.672,.000,0,.108,.500,1,0,,schrode01
33,D'Angelo Russell,27,LAL,PG,76,69,2484,.456,17.4,.495,.109,.205,.115,.067,.505,.497,.788,.403,.460,.375,.415,.383,.735,.001,1,.127,.406,5,0,,russeda01
34,James Harden,34,LAC,PG,72,72,2470,.428,18.5,.406,.144,.137,.099,.027,.594,.497,.703,.345,.457,.318,.381,.157,.462,.002,2,.076,.378,0,0,,hardeja01
35,Devin Booker,27,PHO,PG,68,68,2447,.492,15.4,.680,.140,.158,.231,.151,.320,.552,.760,.447,.551,.472,.364,.373,.612,.013,14,.074,.452,0,0,ASNBA3,bookede01
36,Jarrett Allen,25,CLE,C,77,77,2442,.634,4.2,.993,.554,.338,.081,.020,.007,.638,.738,.531,.500,.250,.000,.823,,.243,170,.333,.000,0,0,DPOY-10,allenja01
37,Jabari Smith Jr.,20,HOU,PF,76,76,2424,.454,16.1,.544,.187,.140,.142,.074,.456,.530,.686,.479,.458,.371,.363,.617,.949,.066,46,.182,.464,5,0,,smithja05
38,Stephen Curry,35,GSW,PG,74,74,2421,.450,19.8,.394,.074,.173,.065,.082,.606,.515,.692,.508,.426,.441,.408,.399,.611,.000,0,.080,.557,2,0,CPOY-1ASNBA3,curryst01
39,Bam Adebayo,26,MIA,C,71,71,2416,.521,8.5,.959,.245,.367,.278,.069,.041,.528,.727,.515,.406,.386,.357,.573,1.000,.148,134,.167,.429,0,0,DPOY-3AS,adebaba01
40,Chet Holmgren,21,OKC,C,82,82,2413,.530,12.8,.634,.296,.208,.093,.037,.366,.623,.770,.535,.461,.343,.370,.652,.977,.156,137,.106,.324,2,0,ROY-2,holmgch01
41,Brook Lopez,35,MIL,C,79,79,2411,.485,16.6,.465,.248,.122,.077,.019,.535,.621,.786,.413,.431,.571,.366,.739,1.000,.058,42,.141,.404,0,0,,lopezbr01
42,Kentavious Caldwell-Pope,30,DEN,SG,76,76,2402,.460,17.2,.475,.177,.085,.089,.124,.525,.520,.615,.440,.423,.507,.406,.745,.944,.020,12,.373,.426,0,0,,caldwke01
43,Bogdan Bogdanović,31,ATL,SG,79,33,2401,.428,18.4,.417,.123,.148,.095,.051,.583,.503,.563,.460,.514,.464,.374,.558,.863,.008,7,.204,.420,5,0,6MOY-5,bogdabo01
44,Brandon Miller,21,CHO,SF,74,68,2383,.440,16.7,.545,.141,.168,.163,.073,.455,.495,.673,.412,.426,.494,.373,.493,.908,.039,39,.181,.393,4,0,ROY-3,millebr02
45,Harrison Barnes,31,SAC,PF,82,82,2381,.474,15.9,.474,.182,.223,.052,.018,.526,.571,.684,.515,.421,.538,.387,.631,.966,.034,21,.421,.420,0,0,,barneha02
